"date","gamepk","hometeamid","hometeamname","awayteamid","awayteamname","parkid","park","batterid","battername","batside","batterteamid","pitcherid","pitchername","pitcherteamid","pitchside","balls","strikes","result_type","pitch_type","pitch_speed","zone_location_x","zone_location_z","launch_speed","launch_vert_ang","launch_horiz_ang","landing_location_x","landing_location_y","hang_time"
2017-04-03,490104,133,"Oakland",108,"LA Angels",10,"Oakland Coliseum",457787,"Espinosa, Danny","R",108,608665,"Graveman, Kendall",133,"L",2,2,"field_out","FC",92.553535,0.91444671,2.5193424,64.216721,39.088768,28.430111,104.64631,168.64255,3.878062
2017-04-03,490111,117,"Houston",136,"Seattle",2392,"Minute Maid Park",543807,"Springer, George","R",117,502272,"Fien, Casey",136,"R",0,1,"field_out","FT",94.174034,0.10629729,2.4887373,62.007004,-42.127434,-9.9987106,-0.38082862,4.4620962,0.041025996
2017-04-03,490111,117,"Houston",136,"Seattle",2392,"Minute Maid Park",543807,"Springer, George","R",117,433587,"Hernandez, Felix",136,"R",2,1,"home_run","SI",91.360626,-0.27979773,2.7119622,92.73069,31.689142,-23.917158,-174.48671,347.17365,5.2325225
2017-04-03,490111,117,"Houston",136,"Seattle",2392,"Minute Maid Park",443558,"Cruz, Nelson","R",136,572971,"Keuchel, Dallas",117,"L",2,0,"field_out","CH",79.076263,0.92065227,2.015507,48.012611,-37.596584,59.152939,3.2117081,3.3318846,0.048215955
2017-04-03,490111,117,"Houston",136,"Seattle",2392,"Minute Maid Park",571745,"Haniger, Mitch","R",136,572971,"Keuchel, Dallas",117,"L",0,1,"field_out","FT",90.394867,-0.070075653,1.5310477,97.056946,22.102823,15.485622,151.2545,277.08365,3.8071601
2017-04-03,490111,117,"Houston",136,"Seattle",2392,"Minute Maid Park",516416,"Segura, Jean","R",136,572971,"Keuchel, Dallas",117,"L",3,2,"single","FT",89.702805,-0.5840804,1.2057949,107.0685,-8.357358,-3.1708279,-1.000628,8.0950136,0.04796204
2017-04-03,490111,117,"Houston",136,"Seattle",2392,"Minute Maid Park",608324,"Bregman, Alex","R",117,433587,"Hernandez, Felix",136,"R",0,0,"single","FF",91.025017,0.56394011,2.4167843,85.092247,-9.0188398,-6.5008502,-0.95407945,14.446539,0.11120912
2017-04-03,490111,117,"Houston",136,"Seattle",2392,"Minute Maid Park",621043,"Correa, Carlos","R",117,433587,"Hernandez, Felix",136,"R",1,0,"double_play","SI",91.150078,-0.62944889,2.5413833,84.500908,12.281296,-18.224707,-56.944252,162.47745,1.6702776
2017-04-03,490111,117,"Houston",136,"Seattle",2392,"Minute Maid Park",572122,"Seager, Kyle","L",136,572971,"Keuchel, Dallas",117,"L",0,0,"field_out","FT",88.273476,-0.56193191,2.3330894,105.1943,-0.85800183,16.391888,11.186042,40.804241,0.2746295
2017-04-03,490111,117,"Houston",136,"Seattle",2392,"Minute Maid Park",502143,"Valencia, Danny","R",136,572971,"Keuchel, Dallas",117,"L",1,1,"field_out","CH",78.55262,-0.14172491,1.6562312,72.426048,56.465656,-32.964237,-99.838272,158.18872,5.4463506
2017-04-03,490111,117,"Houston",136,"Seattle",2392,"Minute Maid Park",502210,"Reddick, Josh","L",117,433587,"Hernandez, Felix",136,"R",2,2,"single","FF",91.819115,-0.2982417,2.5017869,72.8908,19.419638,-4.8962092,-41.783813,213.24756,2.7735796
2017-04-03,490111,117,"Houston",136,"Seattle",2392,"Minute Maid Park",493329,"Gurriel, Yuli","R",117,433587,"Hernandez, Felix",136,"R",1,2,"grounded_into_double_play","FF",91.149666,-0.54893434,2.999809,98.385849,-4.9813266,-16.560633,-7.7134643,26.122322,0.17819276
2017-04-03,490111,117,"Houston",136,"Seattle",2392,"Minute Maid Park",572287,"Zunino, Mike","R",136,572971,"Keuchel, Dallas",117,"L",1,0,"field_out","FT",87.645515,0.14184792,1.9783071,111.86674,5.8596129,-5.4575534,-11.959416,140.43263,0.96220881
2017-04-03,490111,117,"Houston",136,"Seattle",2392,"Minute Maid Park",502481,"Dyson, Jarrod","L",136,572971,"Keuchel, Dallas",117,"L",0,0,"field_out","FT",88.219879,-0.079531066,2.1845119,87.174622,2.375632,-10.072606,-12.86314,59.836033,0.50102603
2017-04-03,490111,117,"Houston",136,"Seattle",2392,"Minute Maid Park",493114,"Aoki, Norichika","L",117,433587,"Hernandez, Felix",136,"R",0,0,"single","SI",92.009193,-0.11404112,2.2160888,94.916641,9.1340742,-15.688478,-71.358604,171.93114,1.6636274
2017-04-03,490111,117,"Houston",136,"Seattle",2392,"Minute Maid Park",543807,"Springer, George","R",117,433587,"Hernandez, Felix",136,"R",2,1,"field_error","CH",86.399429,-1.1371498,2.4469285,48.998432,-26.887966,-17.213087,-2.4112716,4.0146251,0.066939086
2017-04-03,490111,117,"Houston",136,"Seattle",2392,"Minute Maid Park",608324,"Bregman, Alex","R",117,433587,"Hernandez, Felix",136,"R",1,1,"field_out","CH",86.970886,-0.20915385,1.9191623,95.695084,25.883867,19.901419,187.38252,270.18326,4.3030448
2017-04-03,490111,117,"Houston",136,"Seattle",2392,"Minute Maid Park",429664,"Cano, Robinson","L",136,572971,"Keuchel, Dallas",117,"L",0,2,"single","SL",81.07238,-0.30797976,2.6028624,108.04324,-2.6443651,25.396772,15.782043,35.137184,0.24072325
2017-04-03,490111,117,"Houston",136,"Seattle",2392,"Minute Maid Park",547982,"Martin, Leonys","L",136,572971,"Keuchel, Dallas",117,"L",0,0,"field_out","FT",89.269463,-0.080645271,1.8107187,95.852867,-18.92053,18.101761,1.5681448,6.6494069,0.040111691
2017-04-03,490111,117,"Houston",136,"Seattle",2392,"Minute Maid Park",621043,"Correa, Carlos","R",117,433587,"Hernandez, Felix",136,"R",1,1,"home_run","FF",90.378708,-0.98476613,2.9056032,110.60224,30.948969,-32.618523,-325.3338,309.2627,5.8105769
2017-04-03,490111,117,"Houston",136,"Seattle",2392,"Minute Maid Park",502210,"Reddick, Josh","L",117,433587,"Hernandez, Felix",136,"R",1,2,"field_out","FF",90.920944,0.78989244,2.9996645,64.540398,-1.0240165,30.847513,17.186125,27.244122,0.34575257
2017-04-03,490111,117,"Houston",136,"Seattle",2392,"Minute Maid Park",493329,"Gurriel, Yuli","R",117,433587,"Hernandez, Felix",136,"R",0,1,"field_out","CH",86.964798,-0.21393789,1.4393713,84.532425,-6.7449589,-41.001171,-9.1437645,14.564418,0.11990419
2017-04-03,490111,117,"Houston",136,"Seattle",2392,"Minute Maid Park",572287,"Zunino, Mike","R",136,572971,"Keuchel, Dallas",117,"L",1,2,"field_out","FT",89.055862,-1.0223471,3.0284944,76.624992,8.5496893,-22.616518,-54.241306,110.85847,1.2311994
2017-04-03,490111,117,"Houston",136,"Seattle",2392,"Minute Maid Park",502481,"Dyson, Jarrod","L",136,572971,"Keuchel, Dallas",117,"L",0,1,"field_out","FT",88.088081,-0.08379025,2.4497719,68.75164,40.096313,-3.8483968,-53.872337,222.28003,4.4706268
2017-04-03,490111,117,"Houston",136,"Seattle",2392,"Minute Maid Park",435263,"McCann, Brian","L",117,433587,"Hernandez, Felix",136,"R",0,1,"field_out","CH",86.854668,-0.15008651,1.1724094,79.891289,-10.684187,46.91584,4.6096354,6.6829138,0.057194203
2017-04-03,490111,117,"Houston",136,"Seattle",2392,"Minute Maid Park",493114,"Aoki, Norichika","L",117,433587,"Hernandez, Felix",136,"R",0,0,"field_out","CU",79.608932,-0.087438464,2.1845288,87.645546,23.448427,-26.930704,-202.70349,212.0553,3.4914777
2017-04-03,490111,117,"Houston",136,"Seattle",2392,"Minute Maid Park",571745,"Haniger, Mitch","R",136,572971,"Keuchel, Dallas",117,"L",1,1,"field_out","CH",77.214722,0.98111081,2.0506551,70.982452,0.11602393,-14.532309,-7.8018365,34.647522,0.33373961
2017-04-03,490111,117,"Houston",136,"Seattle",2392,"Minute Maid Park",429664,"Cano, Robinson","L",136,572971,"Keuchel, Dallas",117,"L",1,1,"field_out","SL",78.448975,-1.1789619,2.2167492,82.424164,52.65897,4.8921461,-6.1156502,224.67261,5.7920408
2017-04-03,490111,117,"Houston",136,"Seattle",2392,"Minute Maid Park",443558,"Cruz, Nelson","R",136,572971,"Keuchel, Dallas",117,"L",2,0,"field_out","FT",87.332413,0.40958935,2.5094244,113.02579,15.086164,1.6739143,39.414589,372.19489,3.624388
2017-04-03,490111,117,"Houston",136,"Seattle",2392,"Minute Maid Park",514888,"Altuve, Jose","R",117,543883,"Vincent, Nick",136,"R",0,0,"single","FT",89.793358,-0.096805058,2.6205111,90.135674,19.088278,-10.930283,-56.088928,270.03058,2.9935236
2017-04-03,490111,117,"Houston",136,"Seattle",2392,"Minute Maid Park",621043,"Correa, Carlos","R",117,543883,"Vincent, Nick",136,"R",3,0,"sac_fly","SL",87.313988,0.8842895,2.4135928,100.16327,19.185995,-2.566926,3.2513208,340.51627,3.5646734
2017-04-03,490111,117,"Houston",136,"Seattle",2392,"Minute Maid Park",136860,"Beltran, Carlos","L",117,543883,"Vincent, Nick",136,"R",1,2,"field_out","FT",89.224823,-0.085340247,3.0164723,84.54406,56.554256,8.2247496,-5.028254,220.88066,6.163918
2017-04-03,490111,117,"Houston",136,"Seattle",2392,"Minute Maid Park",502210,"Reddick, Josh","L",117,572021,"Pazos, James",136,"L",0,1,"field_out","SI",96.523232,0.15290251,2.3544738,96.591087,-14.591334,14.203528,2.1568468,8.2529726,0.060997933
2017-04-03,490111,117,"Houston",136,"Seattle",2392,"Minute Maid Park",547982,"Martin, Leonys","L",136,572971,"Keuchel, Dallas",117,"L",0,0,"field_out","FT",88.382767,0.06853582,2.8198595,45.535244,-68.706848,-61.317871,-0.9240281,3.0225744,0.04692322
2017-04-03,490111,117,"Houston",136,"Seattle",2392,"Minute Maid Park",493329,"Gurriel, Yuli","R",117,572021,"Pazos, James",136,"L",0,0,"field_out","SI",97.819855,0.22473462,3.5373931,103.63218,-6.9813805,15.097076,6.6235151,24.720982,0.16617128
2017-04-03,490111,117,"Houston",136,"Seattle",2392,"Minute Maid Park",435263,"McCann, Brian","L",117,572021,"Pazos, James",136,"L",2,2,"field_out","SI",96.795906,0.65809155,1.9372545,70.72728,-42.410946,50.170135,2.2843411,2.8177226,0.027727664
2017-04-03,490111,117,"Houston",136,"Seattle",2392,"Minute Maid Park",493114,"Aoki, Norichika","L",117,572021,"Pazos, James",136,"L",0,2,"field_out","SI",97.3787,-0.54885757,2.2436297,88.602348,-18.096119,-7.9777336,-1.4849275,6.4928341,0.052211285
2017-04-03,490111,117,"Houston",136,"Seattle",2392,"Minute Maid Park",572287,"Zunino, Mike","R",136,502381,"Gregerson, Luke",117,"R",0,0,"field_out","FT",89.592781,0.33417997,2.1440589,80.868568,-35.287231,-29.939535,-1.1454612,3.7437043,0.030798972
2017-04-03,490111,117,"Houston",136,"Seattle",2392,"Minute Maid Park",516416,"Segura, Jean","R",136,502381,"Gregerson, Luke",117,"R",1,0,"single","FT",89.459175,-0.1637532,1.8570241,85.09436,-38.279411,-32.917896,-1.3724408,2.6664255,0.022830218
2017-04-03,490111,117,"Houston",136,"Seattle",2392,"Minute Maid Park",429664,"Cano, Robinson","L",136,502381,"Gregerson, Luke",117,"R",3,1,"field_out","FT",88.990547,-0.42776474,1.7213408,103.9615,17.72538,16.958405,131.31345,291.10693,3.0760016
2017-04-03,490111,117,"Houston",136,"Seattle",2392,"Minute Maid Park",608324,"Bregman, Alex","R",117,502272,"Fien, Casey",136,"R",0,1,"field_out","SL",90.3246,0.27647573,2.3433168,84.35585,44.587952,1.1750809,30.117529,262.81161,5.5671101
2017-04-03,490111,117,"Houston",136,"Seattle",2392,"Minute Maid Park",514888,"Altuve, Jose","R",117,502272,"Fien, Casey",136,"R",1,2,"field_out","FT",92.125252,0.23102385,1.6211859,98.301598,22.704712,2.549175,39.810818,353.80887,4.2774286
2017-04-04,490115,133,"Oakland",108,"LA Angels",10,"Oakland Coliseum",488862,"Escobar, Yunel","R",108,640455,"Manaea, Sean",133,"L",0,0,"field_out","FF",93.680473,0.0562534,1.8066127,101.16986,31.736195,15.52935,181.86264,304.48813,5.3073735
2017-04-04,490115,133,"Oakland",108,"LA Angels",10,"Oakland Coliseum",594777,"Calhoun, Kole","R",108,640455,"Manaea, Sean",133,"L",2,1,"field_out","FF",92.812943,0.044818696,1.7381772,102.02288,-12.043184,9.6126957,1.3515502,8.7410755,0.055701882
2017-04-04,490115,133,"Oakland",108,"LA Angels",10,"Oakland Coliseum",545361,"Trout, Mike","R",108,640455,"Manaea, Sean",133,"L",2,1,"field_out","CH",86.228615,0.14653282,1.3914534,111.2846,0.52587813,-30.785103,-25.099667,42.988819,0.31393859
2017-04-04,490115,133,"Oakland",108,"LA Angels",10,"Oakland Coliseum",434658,"Davis, Rajai","R",133,533167,"Shoemaker, Matt",108,"L",0,2,"field_out","FS",86.513481,1.1494037,2.0155289,92.957832,22.87953,-10.799607,-87.364433,346.09552,4.6514935
2017-04-04,490115,133,"Oakland",108,"LA Angels",10,"Oakland Coliseum",459964,"Joyce, Matt","R",133,533167,"Shoemaker, Matt",108,"L",2,2,"field_out","FS",87.196236,-0.67371213,1.2736554,74.69046,-4.6170411,37.258282,7.7525535,13.121935,0.12874937
2017-04-04,490115,133,"Oakland",108,"LA Angels",10,"Oakland Coliseum",592387,"Healy, Ryon","R",133,533167,"Shoemaker, Matt",108,"L",2,2,"home_run","FF",94.256226,0.1945979,2.9927166,108.20798,21.476315,-7.0573707,-43.243233,418.23438,4.9141521
2017-04-04,490115,133,"Oakland",108,"LA Angels",10,"Oakland Coliseum",457727,"Maybin, Cameron","R",108,640455,"Manaea, Sean",133,"L",2,2,"single","FF",93.24395,1.1381085,3.1325116,94.166214,-0.11721572,1.2647698,2.1691122,49.453449,0.35998839
2017-04-04,490115,133,"Oakland",108,"LA Angels",10,"Oakland Coliseum",592743,"Simmons, Andrelton","R",108,640455,"Manaea, Sean",133,"L",1,1,"single","CH",83.936066,0.29369092,2.6560774,108.57616,7.4379201,-21.649055,-77.698296,165.8838,1.3626484
2017-04-04,490115,133,"Oakland",108,"LA Angels",10,"Oakland Coliseum",457787,"Espinosa, Danny","R",108,640455,"Manaea, Sean",133,"L",0,2,"field_out","FF",93.80983,-0.30528969,1.6237308,86.23037,54.598839,2.060921,42.34837,198.79042,5.9060493
2017-04-04,490115,133,"Oakland",108,"LA Angels",10,"Oakland Coliseum",455117,"Maldonado, Martin","R",108,640455,"Manaea, Sean",133,"L",0,0,"single","FF",93.445473,0.013723295,2.1700668,108.57821,11.756649,6.5085931,53.002144,222.55069,1.8907539
2017-04-04,490115,133,"Oakland",108,"LA Angels",10,"Oakland Coliseum",594777,"Calhoun, Kole","R",108,640455,"Manaea, Sean",133,"L",2,0,"field_out","CH",86.227966,-0.46910983,1.5897889,111.71878,6.1269627,-29.042118,-68.034927,108.2714,0.86265254
2017-04-04,490115,133,"Oakland",108,"LA Angels",10,"Oakland Coliseum",488862,"Escobar, Yunel","R",108,640455,"Manaea, Sean",133,"L",0,1,"single","FF",92.485207,0.698475,2.9653556,74.367706,-21.623091,25.914377,3.8235104,7.5819664,0.071262807
